"","ROCCnt","IncrCnt","DecrCnt","UniCnt"
"Achnanthes_subhudsonis",1000,997,0,3
"Achnanthidium_altergracillima",530,1,999,0
"Achnanthidium_deflexum",9,0,1000,0
"Achnanthidium_exiguum",1000,1000,0,0
"Achnanthidium_minutissimum",1000,0,1000,0
"Achnanthidium_pyrenaicum",1,0,1000,0
"Achnanthidium_rivulare",1,957,12,0
"Achnanthidium_thienemannii",915,886,114,0
"Amphora_copulata",773,714,286,0
"Amphora_pediculus",1000,871,0,129
"Asterionella_formosa",92,997,3,0
"Aulacoseira_granulata",1000,1000,0,0
"Brachysira_brebissonii",1000,0,1000,0
"Caloneis_bacillum",1000,361,0,639
"Cocconeis_pediculus",904,1000,0,0
"Cocconeis_placentula",936,1000,0,0
"Ctenophora_pulchella",770,807,193,0
"Cyclotella_atomus",1000,723,277,0
"Cyclotella_meneghiniana",1000,1000,0,0
"Cymbella_tumida",101,0,1000,0
"Diatoma_moniliformis",23,0,1000,0
"Diatoma_tenuis",753,0,1000,0
"Diatoma_vulgaris",1000,818,0,182
"Discostella_pseudostelligera",1000,1000,0,0
"Discostella_stelligera",1000,999,1,0
"Encyonema_minutum",7,992,6,0
"Encyonema_silesiacum",0,991,7,0
"Eolimna_minima",1000,986,0,14
"Eolimna_subminuscula",1000,1000,0,0
"Eucocconeis_laevis",580,0,1000,0
"Eunotia_bilunaris",993,998,2,0
"Eunotia_exigua",1000,0,1000,0
"Eunotia_formica",544,14,986,0
"Eunotia_implicata",265,0,1000,0
"Eunotia_incisa",1000,0,1000,0
"Eunotia_minor",978,91,904,5
"Eunotia_pectinalis",999,0,1000,0
"Eunotia_rhomboidea",1000,0,1000,0
"Fragilaria_capucina",0,0,1000,0
"Fragilaria_crotonensis",136,0,1000,0
"Fragilaria_mesolepta",1000,1000,0,0
"Fragilaria_rhabdosoma",1000,0,1000,0
"Fragilaria_tenera",912,907,93,0
"Fragilaria_vaucheriae",0,235,530,0
"Fragilariforma_virescens",756,0,1000,0
"Frustulia_amphipleuroides",995,874,126,0
"Frustulia_krammeri",983,797,203,0
"Frustulia_vulgaris",35,904,96,0
"Geissleria_acceptata",1000,1000,0,0
"Geissleria_decussis",1000,998,0,0
"Gomphonema_angustatum",220,261,739,0
"Gomphonema_gracile",12,0,1000,0
"Gomphonema_kobayasii",902,1000,0,0
"Gomphonema_minutum",1000,1000,0,0
"Gomphonema_olivaceoides",17,985,15,0
"Gomphonema_parvulum",338,1000,0,0
"Gomphonema_pumilum",936,102,898,0
"Hippodonta_capitata",1000,1000,0,0
"Karayevia_clevei",999,866,134,0
"Karayevia_laterostrata",467,107,893,0
"Karayevia_oblongella",994,0,1000,0
"Mayamaea_atomus",1000,1000,0,0
"Mayamaea_permitis",1000,1000,0,0
"Melosira_varians",999,1000,0,0
"Meridion_circulare",1000,340,0,660
"Navicula_angusta",41,817,177,0
"Navicula_antonii",963,999,1,0
"Navicula_capitatoradiata",998,124,875,1
"Navicula_cryptocephala",12,1000,0,0
"Navicula_cryptotenella",1000,963,0,37
"Navicula_gregaria",1000,1000,0,0
"Navicula_lanceolata",1000,700,0,300
"Navicula_menisculus",974,944,56,0
"Navicula_notha",1000,0,1000,0
"Navicula_radiosafallax",911,3,997,0
"Navicula_rhynchocephala",232,998,2,0
"Navicula_rostellata",1000,1000,0,0
"Navicula_submuralis",1000,1000,0,0
"Navicula_tenelloides",947,934,66,0
"Navicula_tripunctata",1000,999,0,1
"Navicula_trivialis",893,998,2,0
"Nitzschia_acidoclinata",999,941,59,0
"Nitzschia_amphibia",1000,237,0,763
"Nitzschia_dissipata",1000,789,0,211
"Nitzschia_fonticola",1000,1000,0,0
"Nitzschia_frustulum",1000,1000,0,0
"Nitzschia_inconspicua",1000,1000,0,0
"Nitzschia_linearis",19,867,133,0
"Nitzschia_palea",1000,1000,0,0
"Nitzschia_perminuta",866,998,0,0
"Nitzschia_recta",898,766,234,0
"Nitzschia_sociabilis",1000,999,0,1
"Nitzschia_supralitorea",995,1000,0,0
"Nitzschia_tubicola",1000,1000,0,0
"Nupela_lapidosa",110,4,996,0
"Parlibellus_protracta",1000,1000,0,0
"Placoneis_elginensis",994,1000,0,0
"Planothidium_dubium",30,979,21,0
"Planothidium_frequentissimum",1000,1000,0,0
"Planothidium_lanceolatum",1000,907,0,93
"Planothidium_rostratum",1000,1000,0,0
"Planothidium_stewartii",526,10,990,0
"Platessa_conspicua",584,1000,0,0
"Psammothidium_bioretii",996,27,970,3
"Psammothidium_chlidanos",84,916,84,0
"Psammothidium_curtissimum",3,934,66,0
"Psammothidium_grischunum",666,290,710,0
"Psammothidium_subatomoides",8,991,4,0
"Pseudostaurosira_brevistriata",1000,988,12,0
"Pseudostaurosira_parasitica",1000,1000,0,0
"Reimeria_sinuata",1000,1000,0,0
"Reimeria_uniseriata",62,0,1000,0
"Rhoicosphenia_abbreviata",1000,36,0,964
"Rossithidium_linearis",656,3,997,0
"Rossithidium_pusillum",1000,0,1000,0
"Sellaphora_pupula",999,1000,0,0
"Sellaphora_seminulum",1000,1000,0,0
"Stauroforma_exiguiformis",122,0,1000,0
"Staurosira_construens",149,1000,0,0
"Staurosirella_leptostauron",1000,1000,0,0
"Staurosirella_pinnata",999,996,0,4
"Surirella_brebissonii",1000,1000,0,0
"Synedra_rumpens",67,0,1000,0
"Tabellaria_fenestrata",1000,0,1000,0
"Tabellaria_flocculosa",1000,0,1000,0
"Ulnaria_ulna",1,975,25,0
