"","x"
"1",0
"2",1
"3",1
"4",0
"5",1
"6",1
"7",0
"8",0
"9",1
"10",0
"11",0
"12",0
"13",1
"14",0
"15",1
"16",0
"17",0
"18",0
"19",0
"20",1
"21",1
"22",1
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",1
"31",0
"32",1
"33",1
"34",1
"35",1
"36",1
"37",1
"38",1
"39",1
"40",1
"41",0
"42",1
"43",0
"44",0
"45",1
"46",0
"47",0
"48",1
"49",0
"50",0
"51",0
"52",1
"53",0
"54",0
"55",0
"56",0
"57",0
"58",0
"59",0
"60",1
"61",1
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",1
"69",1
"70",0
"71",0
"72",0
"73",0
"74",1
"75",1
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",1
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",1
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",1
"104",0
"105",1
"106",0
"107",0
"108",1
"109",0
"110",0
"111",0
"112",0
"113",1
"114",0
"115",1
"116",1
"117",1
"118",0
"119",1
"120",0
"121",0
"122",0
"123",0
"124",1
"125",1
"126",1
"127",1
