"","x"
"1",1
"2",0
"3",0
"4",1
"5",0
"6",0
"7",1
"8",1
"9",0
"10",1
"11",1
"12",1
"13",0
"14",1
"15",0
"16",1
"17",1
"18",1
"19",1
"20",0
"21",0
"22",0
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",0
"31",1
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",1
"42",0
"43",1
"44",1
"45",0
"46",1
"47",1
"48",0
"49",1
"50",1
"51",1
"52",0
"53",1
"54",1
"55",1
"56",1
"57",1
"58",1
"59",1
"60",0
"61",0
"62",1
"63",1
"64",1
"65",1
"66",1
"67",1
"68",0
"69",0
"70",1
"71",1
"72",1
"73",1
"74",0
"75",0
"76",1
"77",1
"78",1
"79",1
"80",1
"81",1
"82",0
"83",1
"84",1
"85",1
"86",1
"87",1
"88",1
"89",1
"90",1
"91",1
"92",1
"93",1
"94",1
"95",1
"96",0
"97",1
"98",1
"99",1
"100",1
"101",1
"102",1
"103",0
"104",1
"105",0
"106",1
"107",1
"108",0
"109",1
"110",1
"111",1
"112",1
"113",0
"114",0
"115",0
"116",0
"117",0
"118",1
"119",0
"120",1
"121",1
"122",1
"123",1
"124",0
"125",0
"126",0
"127",0
