ID,AWQ_Station_ID,Station Name,TP_MGL,H,L,R
S14129_2015,14129,Beacon Hill Brook,0.021,0.0392,0.6895,0.5381
S14147_2004,14147,Broad Brook,0.078,0.6767,0.0000,10.0000
S14147_2010,14147,Broad Brook,0.0876,0.5561,0.0000,10.0000
S14153_2004,14153,Coginchaug River,0.0835,0.6133,0.0300,9.5337
S14153_2010,14153,Coginchaug River,0.0808,0.5615,0.0415,9.3113
S14174_2011,14174,East Branch Eightmile River,0.014,0.1146,0.5033,1.8548
S14179_2010,14179,East Branch Naugatuck River,1.67E-02,0.3224,0.0687,8.2427
S14194_2004,14194,Farm River,0.03,0.4900,0.0583,8.9362
S14202_2003,14202,Five Mile River,0.211,0.5133,0.0133,9.7468
S14202_2011,14202,Five Mile River,0.068,0.2113,0.3295,3.9077
S14206_2011,14206,French River,0.029,0.3624,0.0126,9.6629
S14226_2011,14226,Harbor Brook,0.0465,0.6195,0.1171,8.4106
S14241_2012,14241,Hockanum River,0.377666667,0.4740,0.0252,9.4953
S14247_2011,14247,Hollenbeck River,0.01,0.0987,0.4142,1.9243
S14263_2014,14263,Kahn Brook,0.127333333,0.9109,0.0000,10.0000
S14278_2010,14278,Little River,0.014,0.0381,0.1573,1.9492
S14278_2014,14278,Little River,0.0135,0.0510,0.0124,8.0488
S14288_2004,14288,Mattabesset River,0.067,0.4533,0.0350,9.2833
S14288_2010,14288,Mattabesset River,0.0657,0.3984,0.0472,8.9416
S14290_2013,14290,Menunketesuck River,0.009,0.0000,0.7983,0.0000
S14293_2013,14293,Mianus River,3.77E-02,0.2750,0.0500,8.4615
S14303_2004,14303,Muddy Brook,0.105,0.7933,0.0000,10.0000
S14308_2013,14308,Muddy River,0.0645,0.2650,0.1917,5.8029
S14314_2004,14314,Natchaug River,0.007,0.0467,0.2883,1.3930
S14316_2002,14316,Naugatuck River,0.2604,0.4309,0.0163,9.6364
S14316_2004,14316,Naugatuck River,0.1495,0.6583,0.0000,10.0000
S14317_2004,14317,Naugatuck River,0.931738095,0.6800,0.0183,9.7375
S14317_2010,14317,Naugatuck River,1.059,0.4811,0.0131,9.7342
S14317_2011,14317,Naugatuck River,0.41575,0.6614,0.0992,8.6957
S14317_2012,14317,Naugatuck River,0.441,0.6331,0.0000,10.0000
S14317_2014,14317,Naugatuck River,0.308,0.6662,0.0000,10.0000
S14317_2015,14317,Naugatuck River,0.328,0.7533,0.0200,9.7414
S14321_2004,14321,Naugatuck River,0.1725,0.6150,0.0300,9.5349
S14341_2004,14341,Naugatuck River,0.009,0.2000,0.2350,4.5977
S14361_2004,14361,Norwalk River,0.059,0.6183,0.0333,9.4885
S14361_2010,14361,Norwalk River,0.112142857,0.2257,0.3558,3.8814
S14377_2012,14377,Pattaconk Brook,1.77E-02,0.0523,0.2018,2.0567
S14392_2004,14392,Pequabuck River,1.11,0.7600,0.0250,9.6815
S14392_2010,14392,Pequabuck River,0.82075,0.3693,0.0000,10.0000
S14392_2012,14392,Pequabuck River,0.5425,0.5681,0.0399,9.3443
S14392_2014,14392,Pequabuck River,0.692,0.5946,0.0000,10.0000
S14392_2015,14392,Pequabuck River,0.374,0.7590,0.0163,9.7899
S14397_2012,14397,Piper Brook,0.04,0.4962,0.1955,7.1739
S14404_2015,14404,Pomperaug River,0.03,0.4583,0.0350,9.2905
S14410_2004,14410,Quinebaug River,0.04,0.4917,0.0250,9.5161
S14410_2010,14410,Quinebaug River,2.37E-02,0.0658,0.3914,1.4388
S14410_2012,14410,Quinebaug River,0.022,0.0000,0.7508,0.0000
S14410_2013,14410,Quinebaug River,0.024,0.0667,0.0967,4.0816
S14410_2014,14410,Quinebaug River,0.0215,0.0554,0.0862,3.9130
S14410_2015,14410,Quinebaug River,0.0195,0.0231,0.3069,0.7000
S14413_2004,14413,Quinnipiac River,0.427,0.5667,0.0233,9.6045
S14413_2012,14413,Quinnipiac River,0.2305,0.5938,0.1243,8.2687
S14413_2013,14413,Quinnipiac River,0.1644,0.4100,0.0300,9.3182
S14413_2014,14413,Quinnipiac River,0.164,0.5831,0.0000,10.0000
S14413_2015,14413,Quinnipiac River,0.2465,0.5308,0.0466,9.1931
S14414_2010,14414,Quinnipiac River,0.352583333,0.3684,0.0000,10.0000
S14414_2012,14414,Quinnipiac River,0.137,0.5024,0.0000,10.0000
S14414_2013,14414,Quinnipiac River,0.1264,0.7250,0.0000,10.0000
S14414_2014,14414,Quinnipiac River,0.128,0.5152,0.0122,9.7688
S14414_2015,14414,Quinnipiac River,0.1805,0.6227,0.0280,9.5696
S14436_2012,14436,Salmon Brook,0.01775,0.1773,0.0000,10.0000
S14441_2004,14441,Salmon River,0.0225,0.1133,0.2550,3.0769
S14441_2010,14441,Salmon River,0.0112,0.2496,0.1691,5.9608
S14441_2011,14441,Salmon River,1.27E-02,0.0478,0.1914,2.0000
S14441_2012,14441,Salmon River,0.0155,0.0925,0.1802,3.3929
S14441_2013,14441,Salmon River,0.00875,0.0400,0.0983,2.8916
S14441_2014,14441,Salmon River,0.0165,0.0278,0.0176,6.1290
S14441_2015,14441,Salmon River,0.013,0.0244,0.2834,0.7937
S14442_2004,14442,Sandy Brook,0.0115,0.1017,0.4033,2.0132
S14442_2010,14442,Sandy Brook,8.17E-03,0.0129,0.2767,0.4469
S14442_2011,14442,Sandy Brook,0.0125,0.0254,0.5626,0.4313
S14442_2012,14442,Sandy Brook,0.012,0.0049,0.5915,0.0822
S14442_2014,14442,Sandy Brook,0.0095,0.0748,0.1622,3.1548
S14442_2015,14442,Sandy Brook,0.0135,0.2450,0.3933,3.8381
S14444_2004,14444,Saugatuck River,0.024,0.4733,0.0933,8.3529
S14444_2010,14444,Saugatuck River,2.22E-02,0.1820,0.2869,3.8811
S14444_2011,14444,Saugatuck River,0.01925,0.2932,0.5964,3.2963
S14444_2013,14444,Saugatuck River,0.0145,0.1133,0.0433,7.2340
S14444_2014,14444,Saugatuck River,0.018,0.3278,0.0000,10.0000
S14444_2015,14444,Saugatuck River,0.023,0.1603,0.1107,5.9146
S14450_2004,14450,Shepaug River,0.054,0.5400,0.1500,7.8261
S14450_2010,14450,Shepaug River,0.0275,0.0939,0.0610,6.0638
S14450_2011,14450,Shepaug River,0.018,0.0099,0.4728,0.2048
S14450_2012,14450,Shepaug River,0.0255,0.0529,0.0000,10.0000
S14450_2014,14450,Shepaug River,2.63E-02,0.0496,0.0000,10.0000
S14450_2015,14450,Shepaug River,0.027,0.0533,0.0817,3.9506
S14451_2011,14451,Shetucket River,0.045,0.4783,0.1413,7.7202
S14458_2010,14458,Still River,0.154,0.2080,0.0599,7.7640
S14458_2014,14458,Still River,0.14,0.7763,0.0000,10.0000
S14458_2015,14458,Still River,0.083,0.6558,0.0277,9.5943
S14461_2004,14461,Sandy Brook (Still River),0.068,0.6017,0.0817,8.8049
S14462_2004,14462,Still River,0.025,0.5017,0.2733,6.4731
S14465_2004,14465,Stony Brook,0.111,0.5767,0.0433,9.3011
S14470_2012,14470,Tankerhoosen River,0.007,0.5765,0.0561,9.1129
S14473_2013,14473,Ten Mile River,0.021,0.0517,0.0233,6.8889
S14482_2010,14482,West Branch Naugatuck River,0.013,0.1420,0.0789,6.4286
S14484_2010,14484,West Branch Salmon Brook,9.14E-03,0.0615,0.2076,2.2840
S14520_2011,14520,Factory Brook,0.0885,0.2059,0.4314,3.2308
S14523_2015,14523,Burton Brook,0.009,0.1744,0.2209,4.4118
