ID,Station_Name,AWQ_Station_ID,TP_MGL,L,H
S14129_2015,Beacon Hill Brook,14129,0.021,0.870915033,0.016339869
S14241_2012,Hockanum River,14241,0.377666667,0.195275591,0.444094488
S14241_2016,Hockanum River,14241,3.76,0.10766721,0.598694943
S14263_2014,Kahn Brook,14263,0.127333333,0.08141321,0.838709677
S14278_2014,Little River,14278,0.0135,0.899536321,0.00927357
S14290_2013,Menunketesuck River,14290,0.009,0.971666667,
S14293_2013,Mianus River,14293,0.037666667,0.335,0.273333333
S14308_2013,Muddy River,14308,0.0645,0.6,0.136666667
S14317_2012,Naugatuck River,14317,0.441,0.131493506,0.241883117
S14317_2014,Naugatuck River,14317,0.308,0.280245023,0.572741194
S14317_2015,Naugatuck River,14317,0.328,0.14,0.693333333
S14317_2016,Naugatuck River,14317,0.135,0.11993517,0.834683955
S14332_2016,Naugatuck River,14332,0.067,0.151960784,0.732026144
S14341_2016,Naugatuck River,14341,0.0265,0.853503185,0.035031847
S14362_2016,Ridgefield Brook,14362,0.253,0.13085622,0.607431341
S14377_2012,Pattaconk Brook,14377,0.017666667,0.493693694,0.046846847
S14385_2016,Pequabuck River,14385,0.029,0.762063228,0.051580699
S14390_2016,Pequabuck River,14390,0.433,0.145901639,0.618032787
S14392_2012,Pequabuck River,14392,0.5425,0.400332226,0.524916944
S14392_2014,Pequabuck River,14392,0.692,0.34775641,0.567307692
S14392_2015,Pequabuck River,14392,0.374,0.161237785,0.741042345
S14392_2016,Pequabuck River,14392,1.06,0.136963696,0.830033003
S14393_2016,Pequabuck River,14393,0.808,0.019769357,0.859967051
S14397_2012,Piper Brook,14397,0.04,0.255639098,0.398496241
S14404_2015,Pomperaug River,14404,0.03,0.473333333,0.441666667
S14410_2012,Quinebaug River,14410,0.022,0.838870432,0.011627907
S14410_2013,Quinebaug River,14410,0.024,0.773333333,0.035
S14410_2014,Quinebaug River,14410,0.0215,0.729230769,0.021538462
S14410_2015,Quinebaug River,14410,0.0195,0.698019802,0.01650165
S14410_2016,Quinebaug River,14410,0.0285,0.529118136,0.024958403
S14413_2012,Quinnipiac River,14413,0.2305,0.174705252,0.511254019
S14413_2013,Quinnipiac River,14413,0.1644,0.201666667,0.593333333
S14413_2014,Quinnipiac River,14413,0.164,0.166219839,0.815013405
S14413_2015,Quinnipiac River,14413,0.2465,0.21797005,0.550748752
S14413_2016,Quinnipiac River,14413,0.085,0.217741935,0.675806452
S14414_2012,Quinnipiac River,14414,0.137,0.07177814,0.766721044
S14414_2013,Quinnipiac River,14414,0.1264,0.045,0.818333333
S14414_2014,Quinnipiac River,14414,0.128,0.033536585,0.932926829
S14414_2015,Quinnipiac River,14414,0.1805,0.057660626,0.675453048
S14414_2016,Quinnipiac River,14414,0.132,0.029503106,0.787267081
S14436_2012,Salmon Brook,14436,0.01775,0.755336617,0.075533662
S14441_2012,Salmon River,14441,0.0155,0.741883117,0.01461039
S14441_2013,Salmon River,14441,0.00875,0.86,0.013333333
S14441_2014,Salmon River,14441,0.0165,0.966325037,0.007320644
S14441_2015,Salmon River,14441,0.013,0.86970684,0.009771987
S14441_2016,Salmon River,14441,0.021,0.867986799,0.021452145
S14442_2012,Sandy Brook,14442,0.012,0.87254902,
S14442_2014,Sandy Brook,14442,0.0095,0.902679831,
S14442_2015,Sandy Brook,14442,0.0135,0.721666667,0.001666667
S14444_2013,Saugatuck River,14444,0.0145,0.833333333,0.086666667
S14444_2014,Saugatuck River,14444,0.018,0.698675497,0.082781457
S14444_2015,Saugatuck River,14444,0.023,0.765289256,0.095867769
S14444_2016,Saugatuck River,14444,0.038,0.708126036,0.104477612
S14450_2012,Shepaug River,14450,0.0255,0.894230769,0.060897436
