ID,AWQ_Station_ID,TP_MGL,Jtemp,L,H,U
S14147_2010,14147,0.0876,23.17806452,,0.606504065,0.021138211
S14153_2010,14153,0.0808,24.14308333,0.041528239,0.340531561,0.041528239
S14174_2011,14174,0.014,23.84761022,0.5,0.029900332,
S14202_2011,14202,0.068,22.52834946,0.336106489,0.34109817,0.039933444
S14206_2011,14206,0.029,24.69635484,0.009831461,0.040730337,0.008426966
S14247_2011,14247,0.01,20.54711022,0.438511327,0.006472492,0.029126214
S14278_2010,14278,0.014,27.6527379,0.36589404,0.018211921,
S14317_2010,14317,1.059,25.86758468,0.013136289,0.192118227,0.108374384
S14317_2011,14317,0.41575,24.4849328,0.127559055,0.368503937,0.003149606
S14392_2010,14392,0.82075,20.49587769,,0.338257016,0.041358936
S14410_2010,14410,0.023714286,25.56527419,0.603618421,0.026315789,
S14414_2010,14414,0.352583333,23.46606048,0.009569378,0.492822967,0.038277512
S14441_2011,14441,0.012666667,21.47887903,0.191358025,0.012345679,0.00462963
S14442_2010,14442,0.008166667,21.65377688,0.44012945,0.003236246,
S14444_2010,14444,0.022166667,23.29192608,0.326229508,0.042622951,0.029508197
S14450_2010,14450,0.0275,24.70846102,0.067545305,0.123558484,
S14450_2011,14450,0.018,23.64472177,0.492586491,0.024711697,0.006589786
S14451_2011,14451,0.045,23.67241398,0.141252006,0.02247191,0.009630819
S14458_2010,14458,0.154,23.75795565,0.059900166,0.344425957,0.1281198
S14482_2010,14482,0.013,23.72809677,0.11829653,0.058359621,0.003154574
S14484_2010,14484,0.009142857,20.52794086,0.247508306,0.063122924,
S14520_2011,14520,0.0885,21.59312634,0.433006536,0.354575163,0.013071895
S14581_2010,14581,0.081,24.93883468,0.282467532,0.090909091,
S14667_2010,14667,0.037571429,23.6226371,0.348333333,0.081666667,0.03
S14720_2011,14720,0.01,18.60542339,0.211111111,0.011111111,0.001587302
S14735_2010,14735,0.032571429,24.47691398,0.489184692,0.013311148,0.023294509
S15013_2010,15013,0.027916667,21.81779973,0.072868217,0.19379845,0.041860465
S15151_2011,15151,0.042,23.2091869,0.031198686,0.032840722,0.200328407
S15571_2011,15571,0.0105,20.00113844,0.248275862,0.044137931,
S16066_2011,16066,0.067,22.06692608,0.146496815,0.229299363,
S16110_2011,16110,0.0115,15.49659946,0.5215311,0.137161085,
S16112_2010,16112,0.018166667,20.91272177,0.374805599,,
S16114_2011,16114,0.0185,18.80141801,0.678807947,0.079470199,
S16127_2011,16127,0.011,18.37149328,0.235197368,0.041118421,0.273026316
S16131_2010,16131,0.0168,22.59615457,0.24375,0.00625,
S16143_2011,16143,0.013,19.99544086,0.629568106,0.054817276,0.064784053
S16335_2011,16335,0.0295,21.07998522,0.52733119,0.18488746,0.045016077
S17530_2011,17530,0.0305,21.77551478,0.323383085,0.023217247,
