ID,ACsubkra,ADsuchla,AHalterg,Ahdeflex,AHmingra,AHminuti,AHpyrena,Ahrivula,AMpedcls,CAbacill,CCpedcls,CCplacen,CCplalin,CMtumida,CYmenegh,ECminutu,ECsilesi,Eolmini,EOminima,EOsubmin,EUexigua,EUimplic,EUincisa,EUminor,FIsapro,FRcapuci,FRcroton,FRrhabdo,FRvauche,GEaccep,GOangstt,GOkobaya,GOminutm,GOolivac,GOparvul,KVoblong,MDcircul,MEvarian,MYpermit,NAantoni,NAcrypto,NAcrytds,NAcryten,NAgregar,NAlancel,NAsubmur,NAtripun,NIamphib,NIdissip,NIfontic,NIfrustu,NIincons,NIpalea,PLconspi,PSsubato,PTfreq,PTlanceo,REsinuta,ROabbre,RSlinea,RSpusill,SApinnat,Sellatom,SRconven,SYrumpen,UlnaUlna
S14129_2015,,,,,,1,,1,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S14241_2012,,,,1,,1,,1,,,,1,,,1,1,,,1,,,,,,,1,,1,1,1,,,,,,,1,1,,,1,,,1,,,,,,,,,,,,1,1,,,,,,,,,
S14241_2016,1,,,,,1,,1,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,1,,,1,,,,,,1,,,,,,,,1,1,,,1,1,,,,,,1,,,
S14263_2014,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,,,,,,,,,
S14278_2014,,,,,,1,,1,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
S14290_2013,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S14293_2013,1,,,,,1,,1,1,,1,1,,,,,,,1,,,,,,,1,1,,,,,,,,,,,1,,,,,1,1,1,,1,,1,,,,1,,,,,,1,1,,,,,,
S14308_2013,,,1,,,1,1,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,1,,,1,,,,,,1,,,,1,,,,
S14317_2012,,,,1,,,,1,,,1,1,,,1,1,1,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,1,,1,,1,1,,,,,1,,,,,,,,
S14317_2014,1,,,,,,,1,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,
S14317_2015,1,,,,,1,,1,,,,1,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,1,,1,,,,,,1,1,,,,,,,
S14317_2016,1,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,1,1,,,,1,,,
S14332_2016,1,,,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,1,1,,,,,,,
S14341_2016,,,,1,1,1,,1,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S14362_2016,,,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,1,1,,,1,1,1,,
S14377_2012,,,,1,,1,,1,,,,1,,,,,,,,,,1,1,,,1,,,1,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,
S14385_2016,1,,,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
S14390_2016,1,,,,,1,,1,,,,,,,,1,1,,,1,,,,,1,,,,1,,,,,,,,,1,1,,,,,1,,,,,,1,,1,1,,,,,1,1,,,,1,,,
S14392_2012,,,,1,,1,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
S14392_2014,1,,,,,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,1,,,,,,,,
S14392_2015,1,,,,,1,,1,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,1,1,,,,,,,
S14392_2016,1,,,,,1,,1,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,1,1,1,,,,1,,,
S14393_2016,,,,,,,,1,,,,,,,,,1,,,1,,,,,1,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,,
S14397_2012,,,,1,,1,,,,1,1,1,,,1,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,1,,,1,1,,1,,,,,,,
S14404_2015,,,,,,1,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,1,,,,1,,1,,,,,,,,
S14410_2012,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
S14410_2013,,,1,,,1,,1,,,,1,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
S14410_2014,,,,,,1,,1,,,1,1,,,,1,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S14410_2015,,,,,,1,,1,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
S14410_2016,,1,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
S14413_2012,,,,,,1,,1,1,,1,1,,,1,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,,,,,,1,,,1,,1,1,,,,,,,
S14413_2013,,,,,,1,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,1,1,,,,1,1,1,1,,,,,,,
S14413_2014,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,1,,,1,,,,1,,1,1,,,,,,,
S14413_2015,1,,,,,1,,1,1,,,,1,,,,,1,,,,,,,,,,,,1,,,,1,,,,1,,,,,1,1,1,,1,,,,,1,,1,,1,1,1,1,,,,,,,
S14413_2016,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,,1,,,,1,,1,1,,,,1,,,
S14414_2012,1,,,,,,,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,1,1,,,,,,,
S14414_2013,1,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,1,,1,,,,1,,,,,1,,1,1,,,,1,,1,1,,,,,,,
S14414_2014,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,1,,1,1,,,,,,,
S14414_2015,1,,,,,1,,1,1,,,,1,,,,1,,,,,,,,,1,,,1,,,,,,1,,,1,,,,1,1,1,1,1,,1,,,,1,,,,1,,1,1,,,,,,,
S14414_2016,1,,,,,1,,1,1,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,,,,,,1,1,1,,,,1,,,,1,,,,1,,1,1,,,,1,,,
S14436_2012,,,,1,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
S14441_2012,,,,1,,1,,1,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,
S14441_2013,1,,1,1,,1,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
S14441_2014,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S14441_2015,,,,,,1,,1,,,,,1,,,1,1,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
S14441_2016,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S14442_2012,,,,1,1,1,,1,,,,,,1,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S14442_2014,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S14442_2015,,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S14444_2013,,,,,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
S14444_2014,,,,,,,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,
S14444_2015,,,,,,1,1,1,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,
S14444_2016,,,,,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,1,,,,,,,,,1,,,,,,,,
S14450_2012,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
S14450_2014,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
S14450_2015,,,,,,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
S14450_2016,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,1,,
S14458_2014,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,,,,1,,,,1,,,1,,,,,,,
S14458_2015,1,,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,1,1,,,1,1,,,1,,1,,,1,,,,,,,1,,,,,,,
S14458_2016,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,,,,1,,1,,,,,1,,,,1,,,
S14462_2016,,,,,,1,1,,1,,1,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,1,1,1,,,1,,,,,,,,,,,,1,,,,,,,
S14470_2012,,,,1,,1,,1,,,,1,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,1,,,,1,1,,,,,,,,,1,,1,,1,,,,,,,,
S14473_2013,,,1,,,1,1,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
S14523_2015,,,,,,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
S14553_2013,1,,,,,1,,,1,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,,1,1,1,,1,,1,,,1,,,1,1,,1,1,,,1,,,,
S14555_2016,1,,,,,1,1,1,1,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,1,1,,1,,,,1,,1,,1,1,,,,1,,,
S14581_2014,1,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S14669_2012,,,,,,1,,1,,,1,,,1,1,,,,,,,,1,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
S14669_2013,,,1,,,1,,1,,,,1,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,1,,,,,,,
S14669_2014,1,,,,,1,,1,,1,1,1,,,,1,1,,1,,,,,,,1,,,1,,,,,,1,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,1,1,
S14669_2015,,,,,,1,,1,,,,,1,,,,1,,,,,,,,,1,,,,,,1,1,,1,,,,,,,,1,1,,,,,,,,,1,,,1,,,,,,,,1,,
S14669_2016,,,,,1,1,,1,,,,1,,,,,1,,,,,,,,,1,1,,1,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,1,,1
S14706_2013,1,,,,,1,,1,,,,1,,,,1,1,,,,,,,,,1,1,,,,,,,,1,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
S14720_2013,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
S14721_2013,1,,,1,,1,,1,,,,1,,,,,1,,,,,,,,,1,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1
S14732_2014,1,,,,,1,,1,,,1,1,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,
S14733_2014,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
S14740_2015,,1,,,,1,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
S14825_2015,1,,,,,1,,1,,,,1,1,,,,1,,,,,,,,1,1,,,1,,,,,,1,,,,,,,,,1,,,,,,1,,1,,,,,,1,,,,,,,1,
