ID,ACsubkra,ADminusc,ADsuchla,AHalterg,Ahatomus,Ahdeflex,AHexigum,Ahlatece,AHmingra,AHminuti,AHpyrena,AHreimer,Ahrivula,AMcopula,AMinarie,AMpedcls,ASformos,AUambig,AUsubart,BApardxa,BRbrebsn,CAbacill,CCpedcls,CCplacen,CCplaeug,CCplalin,CEpulch,Cmsubtur,CMtumida,CQmedioc,CYatomus,CYdistin,CYmenegh,DAmesodo,DAmonilf,DAten,DAvulg,DIconfer,DIconten,DTpseuds,DTstelli,ECminutu,ECreicha,ECsilesi,Eolmini,EOminima,EOsubmin,ESlaevis,EUexigua,EUimplic,EUincisa,EUminor,EUnaegel,EUrhombo,FGviresc,FIsapro,FRcapgra,FRcapuci,FRcroton,FRmesole,FRrhabdo,FRsp10ea,FRtenera,FRvauche,FSamphi,FSvulgar,GEaccep,GEdecu,GMgrovei,GO2KCP,GOangstt,GOangust,GOgracil,GOkobaya,GOmicrop,GOminutm,GOolihut,GOolivac,GOpalius,GOparvul,GOpatric,GOpumilu,GOrhombi,HAamphio,HIcapita,KVclevei,KVlatero,KVoblong,LEhungar,MDcircon,MDcircul,MEvarian,MYatomus,MYpermit,NAantoni,NAcaprad,NAcari,NAcatrva,NAcrypto,NAcrytds,NAcryten,NAgermii,NAgregar,NAlancel,NAnambca,NAnotha,NApermnt,NApseven,NAreichd,NArhynch,NAsubmur,NAtenell,NAtripun,NAtrivls,NAveneta,NIacicul,NIacidcn,NIamphib,NIarchib,NIcapite,NIdissip,NIfontic,NIfrustu,NIheufle,NIincons,NIlinear,NIpaldeb,NIpalea,NIpaleac,NIpermin,NIrecta,NIsociab,NIsublin,NItubcla,Nufrezli,NUlapid,PBprotr,PCelgine,PDbrevis,Pdparasi,PLbahlsi,PLconspi,PLhuste,PSambior,PScurtis,PSgridao,PSmargin,PSsubato,PSventra,PTapic,PTfreq,PTlanceo,PTrostr,PTstewa,PZadio,REsinuta,REuniser,ROabbre,RSlinea,RSpusill,SAleptos,SApinnat,Sellatom,Sellsaug,SFpupula,SFseminu,SOexiguf,SRconstr,SRconven,SSkriege,SUampoxy,SUangust,Subreb,Subrekut,SYrumpen,TAfenest,TAfloccu,TAflolin,TAflost4,ULcfulna,UlnaUlna
S14129_2015,,,,,,,,,,0.689542484,,,0.181372549,,,,,,,,,,,0.006535948,,0.029411765,,,,,,,,,,,,,,,,,,0.02124183,0.003267974,,,,,,,,,,,,,0.022875817,0.004901961,,,,,0.006535948,,,,,,,,,,,,,,,,0.006535948,,,,,,,,,,,,0.004901961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004901961,,,,,,,,,,,,,,,,,,0.001633987,,,,,,,,,,0.009803922,,,,,,,,,,,,,,,0.001633987,,,,,,,,,,0.004901961
S14241_2012,0.007874016,,,,,0.012598425,0.006299213,,0.006299213,0.015748031,,,0.132283465,0.007874016,,,0.001574803,,0.003149606,,,,,0.053543307,,,0.036220472,,,,,0.006299213,0.017322835,,0.003149606,,,,,0.004724409,,0.015748031,,,,0.086614173,0.006299213,,0.001574803,0.004724409,,,0.006299213,,,,,0.011023622,,,0.014173228,,,0.015748031,,0.001574803,0.022047244,0.009448819,,,0.007874016,,,0.001574803,,,,,,0.009448819,,,,0.001574803,0.012598425,,,0.003149606,0.001574803,,0.022047244,0.053543307,0.003149606,,0.004724409,0.004724409,,,0.015748031,,,,0.042519685,0.003149606,,,,,,0.006299213,,,0.001574803,0.003149606,,,,0.009448819,,,,,,,,0.007874016,,0.007874016,,,,,,,,0.007874016,,0.004724409,,,,0.001574803,,,,,,,,0.017322835,0.094488189,0.056692913,,,0.001574803,,,0.009448819,0.003149606,,0.001574803,,,,0.009448819,,,,,,,0.003149606,,0.001574803,,0.001574803,0.001574803,,,0.001574803,
S14241_2016,0.032626427,0.006525285,,,,,0.006525285,,,0.039151713,,,0.066884176,,,0.003262643,0.021207178,,,,,0.004893964,,0.078303426,,,,,,,,,0.008156607,,,,0.001631321,,0.004893964,0.003262643,0.001631321,,,0.001631321,,,,,,,,,,,,,,0.019575856,0.001631321,,,0.006525285,,0.013050571,,0.001631321,,0.003262643,,,,,,0.001631321,0.003262643,0.001631321,,,0.003262643,0.013050571,,,,,,,0.001631321,,0.006525285,0.001631321,,0.026101142,,0.001631321,,,,,0.009787928,,0.001631321,,0.076672104,,,,0.030995106,,,0.003262643,,,,0.001631321,0.001631321,,,,,,0.004893964,,,,0.017944535,0.01141925,,0.016313214,0.001631321,0.004893964,,,,,,,0.019575856,,,,,,,,,,,0.001631321,,0.003262643,0.084828711,0.097879282,0.034257749,,,,,0.006525285,,0.004893964,,0.006525285,0.060358891,0.006525285,0.006525285,,,,0.006525285,0.001631321,,,,,,,0.001631321,,,,0.001631321
S14263_2014,,,,,,,,,,,,,0.08141321,,,,,,,,,,0.016897081,0.052227343,,,,,,,,,,,,,,,,,,,,,,,0.006144393,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00921659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012288786,,,,,,,,,,,,,,,,,,,,,,0.517665131,,,,,,0.001536098,,,,,,,,,,,,,,,,,,,,0.211981567,0.084485407,,,,0.003072197,,0.003072197,,,,,,,,,,,,,,,,,,,,,,,
S14278_2014,,,,,,,,,,0.010819165,,,0.873261206,,,,,,,,,,0.021638331,0.027820711,,0.001545595,,,,,,,,,0.001545595,,,,,,,0.004636785,,0.001545595,,,,,,,,,,,,,,0.013910355,,,,,,0.00309119,,,,,,,,,,,,,,,0.007727975,,,,,,,,,,,,,,,,,,,,,,0.00309119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015455951,,,,,,,,,0.001545595,,,,,,,,,,0.001545595,,,
S14290_2013,,,,,,,,,,0.666666667,,,0.03,,,,,,,,0.116666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038333333,,0.001666667,,,,,,,,,,,,,,,,,0.003333333,,0.01,,0.006666667,,,,,,,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013333333,,
S14293_2013,0.011666667,,,0.005,,,,0.001666667,,0.05,,,0.253333333,,,0.045,0.016666667,0.005,0.001666667,,,,0.021666667,0.018333333,,,0.001666667,,,,0.011666667,,0.005,,0.035,0.001666667,,,,0.005,0.001666667,,,0.003333333,,0.015,,0.001666667,,,,,,,,,0.038333333,0.038333333,0.051666667,,,,0.003333333,0.003333333,0.003333333,,,0.003333333,,,,,,,,,,,,,,,,,0.001666667,,0.003333333,,,,0.003333333,0.035,,,0.001666667,0.003333333,,,,,0.026666667,,0.045,0.02,,,,,,,,,0.023333333,,,,,,,,0.011666667,0.006666667,,,,,,0.011666667,,,0.008333333,0.021666667,,,,,,,,,,,0.001666667,,,,,0.001666667,,,0.001666667,0.003333333,,,,0.003333333,,0.046666667,0.015,,0.001666667,,,,,0.001666667,,,,,,,,,,,,,,,
S14308_2013,0.006666667,,,0.028333333,,0.003333333,,0.005,,0.19,0.191666667,,0.15,,,0.026666667,,,,,,,0.026666667,0.008333333,,,,,,,,,,0.01,0.008333333,,,,,,,0.008333333,0.015,,,0.015,,,,,,,,,,,,0.006666667,,,,,,,,,0.006666667,,,,0.001666667,,,,,0.003333333,,,,,,,,,,,,,,0.003333333,0.003333333,0.081666667,,,,,,,0.003333333,,0.013333333,,0.018333333,,,,,,,,,,,,,,,,,,0.01,0.001666667,0.006666667,0.001666667,0.016666667,,,0.001666667,,,,0.003333333,,,,,0.003333333,,,,0.003333333,,,0.001666667,,,,,,,0.006666667,,,,,0.02,0.005,0.006666667,,,,0.025,,,,,,,,,,0.003333333,,,,,,,,,
S14317_2012,0.006493506,,,,,0.017857143,0.001623377,,,0.006493506,0.001623377,,0.105519481,,,0.00487013,0.003246753,,,,,,0.237012987,0.188311688,,,,,,,,0.008116883,0.030844156,,,,,,,,,0.037337662,,0.01461039,,0.01461039,0.006493506,,,,,,,,,,,0.016233766,,,,,,0.042207792,,,0.008116883,,,,,,,,,,,,,0.006493506,,,,,,,,,,,,0.003246753,,,0.006493506,,,,,,,,0.01461039,0.001623377,,,,,,,,,0.001623377,,,,,0.01461039,,,,0.012987013,,,0.017857143,0.001623377,,0.011363636,,,,,,,,,,0.00487013,,,,,,,,,,,,,0.001623377,0.008116883,,,,0.066558442,,,,,,,,,0.001623377,,,,,,,,,0.001623377,,,,,,,
S14317_2014,0.026033691,,,,,0.004594181,,,,0.003062787,,,0.272588055,,,,,,,,,,0.015313936,0.068912711,,0.026033691,,,,,,,,,,,,,,,,0.02143951,,,,0.004594181,,,,,,,,,,,,,,,,,,0.009188361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004594181,,0.009188361,,,,,,,,0.036753446,0.006125574,,,,,,,,,,,,,,,,,,,,,0.286370597,,,,,,,,,,,,,,,,,,,,,,,,,,0.004594181,,,,,0.194486983,,,,,,,,,,,,,,,,,,0.003062787,,,,,,,0.003062787
