ID,TP_MGL
S14129_2015,0.021
S14241_2012,0.377666667
S14241_2016,3.76
S14263_2014,0.127333333
S14278_2014,0.0135
S14290_2013,0.009
S14293_2013,0.037666667
S14308_2013,0.0645
S14317_2012,0.441
S14317_2014,0.308
S14317_2015,0.328
S14317_2016,0.135
S14332_2016,0.067
S14341_2016,0.0265
S14362_2016,0.253
S14377_2012,0.017666667
S14385_2016,0.029
S14390_2016,0.433
S14392_2012,0.5425
S14392_2014,0.692
S14392_2015,0.374
S14392_2016,1.06
S14393_2016,0.808
S14397_2012,0.04
S14404_2015,0.03
S14410_2012,0.022
S14410_2013,0.024
S14410_2014,0.0215
S14410_2015,0.0195
S14410_2016,0.0285
S14413_2012,0.2305
S14413_2013,0.1644
S14413_2014,0.164
S14413_2015,0.2465
S14413_2016,0.085
S14414_2012,0.137
S14414_2013,0.1264
S14414_2014,0.128
S14414_2015,0.1805
S14414_2016,0.132
S14436_2012,0.01775
S14441_2012,0.0155
S14441_2013,0.00875
S14441_2014,0.0165
S14441_2015,0.013
S14441_2016,0.021
S14442_2012,0.012
S14442_2014,0.0095
S14442_2015,0.0135
S14444_2013,0.0145
S14444_2014,0.018
S14444_2015,0.023
S14444_2016,0.038
S14450_2012,0.0255
S14450_2014,0.026333333
S14450_2015,0.027
S14450_2016,0.037
S14458_2014,0.14
S14458_2015,0.083
S14458_2016,0.112
S14462_2016,0.026
S14470_2012,0.007
S14473_2013,0.021
S14523_2015,0.009
S14553_2013,0.083
S14555_2016,0.096
S14581_2014,0.08175
S14669_2012,0.034
S14669_2013,0.031
S14669_2014,0.029
S14669_2015,0.026
S14669_2016,0.035
S14706_2013,0.037333333
S14720_2013,0.011
S14721_2013,0.021666667
S14732_2014,0.056333333
S14733_2014,0.015
S14740_2015,0.021
S14825_2015,0.039
S14866_2014,0.026666667
S15003_2014,0.034333333
S15004_2014,0.032
S15051_2014,0.089
S15169_2012,0.024
S15176_2014,0.018666667
S15201_2013,0.02
S15304_2014,0.019666667
S15315_2012,0.01
S15406_2012,0.0255
S15413_2012,0.025
S15479_2012,0.0375
S15479_2013,0.066
S15479_2014,0.042
S15479_2015,0.0625
S15479_2016,0.053
S15520_2014,0.03
S15703_2012,0.00775
S15796_2013,0.02325
S15837_2012,0.014
S15858_2013,0.022
S15964_2012,0.021
S15993_2015,0.0365
S16022_2015,0.023666667
S16049_2015,0.0465
S16050_2016,0.159
S16122_2012,0.0145
S16125_2015,0.008
S16128_2014,0.016
S16144_2013,0.02
S16191_2015,0.016666667
S16239_2012,0.0085
S16258_2012,0.007
S16268_2015,0.034333333
S16311_2012,0.008
S16385_2012,0.008666667
S16428_2013,0.014
S16440_2012,0.045666667
S16505_2012,0.014333333
S16524_2015,0.029666667
S16583_2013,0.028333333
S16588_2013,0.044
S16599_2015,0.019666667
S16603_2012,0.015
S16679_2014,0.04375
S16758_2012,0.016333333
S16833_2014,0.034
S16846_2012,0.016666667
S16851_2013,0.0335
S16881_2013,0.021
S16885_2014,0.018
S16928_2014,0.023
S16972_2015,0.012666667
S16984_2015,0.016
S17061_2013,0.026
S17181_2015,0.032
S17201_2013,0.036
S17271_2012,0.0125
S17295_2014,0.009
S17342_2015,0.031666667
S17398_2012,0.017
S17565_2014,0.063
S17568_2014,0.023
S17816_2014,0.075
S17852_2014,0.02725
S18158_2012,0.013
S18159_2012,0.009
S18463_2013,0.081
S18874_2015,0.016333333
S18875_2015,0.038
S18876_2015,0.023333333
S18877_2015,0.021
S18881_2015,0.27
S18882_2015,0.118
S18883_2015,0.018
S18884_2015,0.0405
