Spp,ROCCnt,IncrCnt,DecrCnt,UniCnt,ChiTest,ChiSig,GRP
Nitzschia_inconspicua,1000,1000,0,0,3.77E-19,1,H
Navicula_gregaria,1000,1000,0,0,3.41E-14,1,H
Eolimna_subminuscula,1000,1000,0,0,2.95E-11,1,H
Achnanthes_subhudsonis,1000,999,0,1,1.14E-09,1,H
Eolimna_minima,1000,982,0,18,1.84E-07,1,H
Planothidium_lanceolatum,1000,911,0,89,4.21E-07,1,H
Reimeria_sinuata,1000,1000,0,0,1.26E-06,1,H
Achnanthidium_exiguum,1000,1000,0,0,8.64E-06,1,H
Sellaphora_seminulum,1000,1000,0,0,9.81E-06,1,H
Mayamaea_permitis,1000,1000,0,0,1.31E-05,1,H
Nitzschia_fonticola,1000,1000,0,0,2.26E-05,1,H
Surirella_brebissonii,1000,1000,0,0,2.60E-05,1,H
Nitzschia_palea,1000,1000,0,0,0.000172353,1,H
Nitzschia_dissipata,1000,801,0,199,0.000172618,1,H
Navicula_tripunctata,1000,999,0,1,0.000396743,1,H
Amphora_pediculus,1000,862,0,138,0.00169655,1,H
Aulacoseira_granulata,1000,1000,0,0,0.001980757,1,H
Eunotia_bilunaris,998,999,1,0,0.002416677,1,H
Sellaphora_pupula,1000,998,0,2,0.00260654,1,H
Navicula_cryptotenella,1000,966,0,34,0.003209524,1,H
Mayamaea_atomus,1000,1000,0,0,0.00322118,1,H
Navicula_submuralis,1000,1000,0,0,0.003283541,1,H
Cocconeis_placentula,941,1000,0,0,0.003446339,1,H
Fragilaria_mesolepta,1000,1000,0,0,0.003913168,1,H
Melosira_varians,1000,1000,0,0,0.00428742,1,H
Planothidium_rostratum,1000,1000,0,0,0.004789362,1,H
Hippodonta_capitata,1000,1000,0,0,0.005993097,1,H
Cyclotella_meneghiniana,1000,1000,0,0,0.006571287,1,H
Cocconeis_pediculus,902,1000,0,0,0.007406405,1,H
Staurosirella_pinnata,1000,992,0,8,0.010173693,1,H
Gomphonema_kobayasii,897,1000,0,0,0.014017493,1,H
Parlibellus_protracta,1000,1000,0,0,0.014111246,1,H
Nitzschia_acidoclinata,1000,929,71,0,0.016395451,1,H
Geissleria_acceptata,1000,1000,0,0,0.017554636,1,H
Nitzschia_supralitorea,996,1000,0,0,0.017619805,1,H
Pseudostaurosira_parasitica,1000,999,1,0,0.019637972,1,H
Karayevia_clevei,1000,882,118,0,0.024009939,1,H
Gomphonema_minutum,1000,999,0,1,0.035113046,1,H
Placoneis_elginensis,997,1000,0,0,0.037922967,1,H
Nitzschia_frustulum,999,1000,0,0,0.043390255,1,H
Navicula_rostellata,1000,1000,0,0,0.045383536,1,H
Fragilaria_tenera,907,894,106,0,0.049146607,1,H
Navicula_antonii,975,1000,0,0,0.067320438,0,H
Discostella_pseudostelligera,1000,1000,0,0,0.068762804,0,H
Staurosirella_leptostauron,1000,1000,0,0,0.071898859,0,H
Achnanthidium_thienemannii,937,882,118,0,0.076839632,0,H
Navicula_trivialis,869,998,2,0,0.085851861,0,H
Navicula_menisculus,979,946,54,0,0.113872305,0,H
Nitzschia_sociabilis,1000,1000,0,0,0.124210105,0,H
Geissleria_decussis,1000,999,0,0,0.126503895,0,H
Nitzschia_tubicola,1000,1000,0,0,0.128177577,0,H
Navicula_tenelloides,957,935,65,0,0.168803132,0,H
Pseudostaurosira_brevistriata,1000,991,9,0,0.179606647,0,H
Nitzschia_perminuta,884,997,1,0,0.213820157,0,H
Frustulia_amphipleuroides,996,879,121,0,0.230337049,0,H
Frustulia_krammeri,984,800,200,0,0.263493728,0,H
Discostella_stelligera,1000,999,1,0,0.271331476,0,H
Rhoicosphenia_abbreviata,1000,38,0,962,1.33E-11,1,I
Achnanthidium_minutissimum,1000,0,1000,0,1.22E-05,1,L
Tabellaria_flocculosa,1000,0,1000,0,4.88E-05,1,L
Eunotia_incisa,1000,0,1000,0,0.000812078,1,L
Rossithidium_pusillum,1000,0,1000,0,0.002005917,1,L
Eunotia_pectinalis,997,0,1000,0,0.002610329,1,L
Brachysira_brebissonii,1000,0,1000,0,0.004763292,1,L
Eunotia_rhomboidea,1000,0,1000,0,0.006811755,1,L
Eunotia_exigua,1000,0,1000,0,0.007100331,1,L
Navicula_notha,1000,0,1000,0,0.008100338,1,L
Eunotia_minor,982,87,909,4,0.014186891,1,L
Psammothidium_bioretii,995,35,964,1,0.028745943,1,L
Karayevia_oblongella,984,0,1000,0,0.096609813,0,L
Navicula_radiosafallax,903,3,997,0,0.113871527,0,L
Tabellaria_fenestrata,1000,0,1000,0,0.182045706,0,L
Navicula_capitatoradiata,1000,118,882,0,0.224530954,0,L
Fragilaria_rhabdosoma,1000,0,1000,0,0.23273416,0,L
Gomphonema_pumilum,928,130,870,0,0.2741763,0,L
Navicula_lanceolata,1000,665,0,335,1.48E-12,1,NA
Nitzschia_amphibia,1000,245,0,755,1.39E-10,1,NA
Planothidium_frequentissimum,1000,724,0,276,3.96E-10,1,NA
Caloneis_bacillum,1000,363,0,637,2.19E-05,1,NA
Diatoma_vulgaris,1000,787,0,213,2.21E-05,1,NA
Meridion_circulare,1000,352,0,648,0.000217658,1,NA
Eucocconeis_laevis,572,0,1000,0,0.00235996,1,NA
Eunotia_implicata,277,0,1000,0,0.018883637,1,NA
Synedra_rumpens,71,0,1000,0,0.023692097,1,NA
Achnanthidium_deflexum,2,0,1000,0,0.031732005,1,NA
Platessa_conspicua,559,1000,0,0,0.038440077,1,NA
Planothidium_stewartii,515,6,994,0,0.041986968,1,NA
Staurosira_construens,137,1000,0,0,0.048544875,1,NA
Fragilariforma_virescens,779,0,1000,0,0.053293846,0,NA
Rossithidium_linearis,672,5,995,0,0.063652371,0,NA
Ulnaria_ulna,0,977,23,0,0.069032791,0,NA
Cymbella_tumida,100,0,1000,0,0.081670217,0,NA
Gomphonema_parvulum,335,998,1,1,0.131974035,0,NA
Fragilaria_crotonensis,97,0,998,2,0.150439992,0,NA
Karayevia_laterostrata,479,108,892,0,0.164404971,0,NA
Psammothidium_chlidanos,102,903,97,0,0.168886746,0,NA
Gomphonema_gracile,7,0,1000,0,0.178900039,0,NA
Nitzschia_recta,888,754,246,0,0.184206112,0,NA
Cyclotella_atomus,1000,727,273,0,0.187475828,0,NA
Navicula_cryptocephala,13,999,1,0,0.196062057,0,NA
Gomphonema_angustatum,222,262,738,0,0.206307306,0,NA
Asterionella_formosa,82,998,2,0,0.207730241,0,NA
Encyonema_silesiacum,0,992,5,0,0.211006713,0,NA
Diatoma_tenuis,750,0,1000,0,0.241191745,0,NA
Navicula_rhynchocephala,218,998,2,0,0.242492825,0,NA
Fragilaria_capucina,0,0,1000,0,0.26813925,0,NA
Amphora_copulata,781,723,277,0,0.278999183,0,NA
Psammothidium_subatomoides,6,994,2,0,0.291154847,0,NA
