"","Row.names","s.H","s.I","s.L","index","stat","p.value","IndValGRP","Sig","Optima","Tolerances","TORatio","WAGRP","WAInclude","tolcl"
"1","ACsubkra",1,0,0,1,0.806377762721326,0.001,"Increasing",1,0.207306608021897,0.476106569795374,2.29662997401937,"Increasing",1,"Increasing"
"2","ADminusc",1,0,0,1,0.233860367844836,0.174,"Increasing",0,1.11698574492431,1.84659455325411,1.65319437749784,"Increasing",1,"Increasing"
"3","ADsuchla",0,0,1,3,0.303649971599196,0.105,"Decreasing",0,0.0136214586862485,0.342271155125212,25.1273496480045,"Decreasing",0,"NA"
"4","AHalterg",0,1,0,2,0.340100677794864,0.071,"I",0,0.0292504900356755,0.0236192406736957,0.807481879615979,"Decreasing",1,"Decreasing"
"5","Ahatomus",0,0,1,3,0.123985100540296,0.918,"Decreasing",0,0.0317868219106814,0.0232062444059479,0.730058653587821,"Decreasing",1,"Decreasing"
"6","Ahdeflex",0,1,0,2,0.51727796781693,0.325,"I",0,0.0308879201357886,0.0658170303010451,2.13083399632291,"Decreasing",1,"Decreasing"
"7","AHexigum",1,0,0,1,0.443258133478066,0.002,"Increasing",1,0.411012040097236,1.06826079762742,2.59909855043345,"Increasing",1,"Increasing"
"8","Ahlatece",0,1,0,2,0.266965691910161,0.219,"I",0,0.025788151332056,0.0185216000043983,0.718221316677904,"Decreasing",1,"Decreasing"
"9","AHmingra",0,0,1,3,0.330424681326746,0.35,"Decreasing",0,0.0239389894845197,0.0455465767733551,1.9026106679569,"Decreasing",1,"Decreasing"
"10","AHminuti",0,0,1,3,0.727599844639365,0.001,"Decreasing",1,0.038192733997768,0.146958964799874,3.84782521221085,"Decreasing",0,"Decreasing"
"11","AHpyrena",0,1,0,2,0.430305928598924,0.112,"I",0,0.0315439833259901,0.0302466556250041,0.958872419897675,"Decreasing",1,"Decreasing"
"12","AHreimer",0,1,0,2,0.228300382508214,0.137,"I",0,0.0333404729722441,0.0158229451878112,0.474586704303318,"Decreasing",1,"Decreasing"
"13","Ahrivula",0,0,1,3,0.677646316381526,0.001,"Decreasing",1,0.0580620464767584,0.19711315724832,3.39487099076369,"I",0,"Decreasing"
"14","AMcopula",0,1,0,2,0.173064123494698,0.9,"I",0,0.0971418967834684,0.155526432554163,1.60102322173958,"I",0,"NA"
"15","AMinarie",1,0,0,1,0.224638049296113,0.224,"Increasing",0,0.108381749334914,0.0978528427163614,0.902853509164013,"I",0,"NA"
"16","AMpedcls",1,0,0,1,0.623505414119434,0.002,"Increasing",1,0.0889492303329329,0.13792523787778,1.55060631060586,"I",0,"Increasing"
"17","ASformos",1,0,0,1,0.234704171183391,0.754,"Increasing",0,0.746891276630515,1.55637702390015,2.0838066698563,"Increasing",1,"Increasing"
"18","AUambig",0,1,0,2,0.257121294447622,0.12,"I",0,0.0347163249699472,0.342271155125212,9.85908374292226,"Decreasing",0,"NA"
"19","AUsubart",1,0,0,1,0.169657928743478,0.476,"Increasing",0,0.134497908102676,0.17692737686678,1.31546564078686,"I",0,"NA"
"20","BApardxa",0,1,0,2,0.237462813883816,0.134,"I",0,0.043559389475357,0.0202246443684862,0.464300455357115,"I",0,"NA"
"21","BRbrebsn",0,0,1,3,0.237200045390144,0.134,"Decreasing",0,0.0114268245629631,0.010008258254955,0.875856472619178,"Decreasing",1,"Decreasing"
"22","CAbacill",1,0,0,1,0.506520300334498,0.001,"Increasing",1,0.158380017574731,0.549604260450201,3.47016163317996,"Increasing",0,"Increasing"
"23","CCpedcls",0,0,1,3,0.457760727138124,0.521,"Decreasing",0,0.0986993285306702,0.165853661745966,1.6803930099122,"I",0,"NA"
"24","CCplacen",0,1,0,2,0.556372689437108,0.683,"I",0,0.108085874528148,0.419921198336179,3.88507009051237,"I",0,"NA"
"25","CCplaeug",0,1,0,2,0.168041642363776,0.939,"I",0,0.0364683046034203,0.0288598326416355,0.791367543829522,"Decreasing",1,"Decreasing"
"26","CCplalin",0,1,0,2,0.393078851241013,0.515,"I",0,0.0458515301249483,0.0799915423853678,1.74457738198455,"I",0,"NA"
"27","CEpulch",0,1,0,2,0.169300325921228,0.998,"I",0,0.195748770293099,0.202590395949104,1.0349510530552,"Increasing",1,"Increasing"
"28","Cmsubtur",0,1,0,2,0.195990660326914,0.339,"I",0,0.0592388068902313,0.0885525586646421,1.49484034728668,"I",0,"NA"
"29","CMtumida",0,0,1,3,0.323254297292883,0.092,"Decreasing",0,0.0198463755391433,0.0120877773865543,0.60906725072865,"Decreasing",1,"Decreasing"
"30","CQmedioc",0,1,0,2,0.213492116227419,0.363,"I",0,0.0407593817076321,0.0265023051673969,0.650213620940044,"I",0,"NA"
